      déboulonnées	        déboulonner	            debulone	       VER	            par:pas;	         f	          	         4	                                  neutre	                             défoncées	                           coup;violence	                               mecanique
                lune	                lune	                 lyn	       NOM	                    	         f	          	         1	       melancolique;lyrique;scientifique	                         astre;satellite	       nuit;étoile;cosmos;inconnu;blanc	                      astronomie;poésie
                ours	                ours	                 uRs	       NOM	                    	         m	          	         1	                                  neutre	                                        	                                        	                                        
               blanc	               blanc	                 bl@	       NOM	                    	         m	          	         1	                                  neutre	                                        	                                        	                                        
               blanc	               blanc	                 bl@	       NOM	                    	         m	          	         1	                                  neutre	                                        	                                        	                                        
               blanc	               blanc	                 bl@	       NOM	                    	         m	          	         1	                                  neutre	                                        	                                        	                                        
               blanc	               blanc	                 bl@	       NOM	                    	         m	          	         1	                                  neutre	                                        	                                        	                                        
               blanc	               blanc	                 bl@	       NOM	                    	         m	          	         1	                                  neutre	                                        	                                        	                                        
               blanc	               blanc	                 bl@	       NOM	                    	         m	          	         1	                                  neutre	                                        	                                        	                                        
               blanc	               blanc	                 bl@	       ADJ	                    	         m	          	         1	                                  neutre	                                        	                                        	                                        
               blanc	               blanc	                 bl@	       NOM	                    	         m	          	         1	                                  neutre	                                        	                                        	                                        
               danse	               danse	                 d@s	       NOM	                    	         f	          	         1	                                  neutre	                                        	                                        	                                                             	                                        
               danse	              danser	                 d@s	       VER	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:3s;	          	          	         1	                                  neutre	                                      	                                        	                                        	                                        
               danse	               danse	                 d@s	       NOM	                    	         f	          	         1	                                  neutre	                                        	                                        	                                        
               danse	              danser	                 d@s	       VER	imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:3s;	          	          	         1	                                  neutre	                                        	                                        	                                        
         défoncées	           défoncer	             def§se	       VER	            par:pas;	         f	          	         3	                                  neutre	                                        	                                        	                                        
         défoncées	           défoncé	             def§se	       ADJ	                    	         f	          	         3	                                  neutre	                                        	                                        	                                        
                coup	                coup	                  ku	       NOM	                    	         m	          	         1	                                  neutre	                                        	                                        	                                        
                coup	                coup	                  ku	       NOM	                    	         m	          	         1	                                  neutre	                                        	                                        	                                        
                nuit	                nuit	                 n8i	       NOM	                    	         f	          	         1	                                  neutre	                                        	                                        	                                        
            violence	            violence	              vjol@s	       NOM	                    	         f	          	         2	                                  neutre	                                        	                                        	                                        
         défoncées	           défoncer	             def§se	       VER	            par:pas;	         f	          	         3	                                  neutre	                                        	                                        	                                        
         défoncées	           défoncé	             def§se	       ADJ	                    	         f	          	         3	                                  neutre	                                        	                                        	                                        
               astre	               astre	                astR	       NOM	                    	         m	          	         1	                                  neutre	                                        	                                        	                                        
           satellite	           satellite	             satelit	       NOM	                    	         m	          	         3	                                  neutre	                                        	                                        	                                        
             étoile	             étoile	               etwal	       NOM	                    	         f	          	         2	                                  neutre	                                        	                                        	                                        
             étoile	            étoiler	               etwal	       VER	imp:pre:2s;ind:pre:3s;	          	          	         2	                                  neutre	                                        	                                        	                                        
              cosmos	              cosmos	              kOsmos	       NOM	                    	         m	          	         2	                                  neutre	                                        	                                        	                                        
             inconnu	             inconnu	               5kony	       ADJ	                    	         m	          	         3	                                  neutre	                                        	                                        	                                        
             inconnu	             inconnu	               5kony	       NOM	                    	         m	          	         3	                                  neutre	                                        	                                        	                                        
                coup	                coup	                  ku	       NOM	                    	         m	          	         1	                                  neutre	                                        	                                        	                                        
           contester	           contester	                   k	       VER	                 inf	          	          	         3	                                  neutre	    protester;refuser;attaquer;démentir	        lutte;droit;injustice;oppression	                               politique
              soleil	              soleil	                   s	       NOM	                    	         m	         s	         2	                          lyrique;epique	                       astre;feu;étoile	     chaleur;rouge;jaune;rayons;lumière	             astronomie;physique;poésie
               astre	               astre	                astR	       NOM	                    	         m	          	         1	                                  neutre	                                        	                                        	                                        
                nuit	               nuire	                 n8i	       VER	         ind:pre:3s;	          	          	         1	                                  neutre	                                        	                                        	                                        
                nuit	                nuit	                 n8i	       NOM	                    	         f	          	         1	                                  neutre	                                        	                                        	                                        
           protester	           protester	            pRotEste	       VER	                inf;	          	          	         3	                                  neutre	                                        	                                        	                                        
             refuser	             refuser	             R°fyze	       VER	               inf;;	          	          	         3	                                  neutre	                               contester	                      choix;liberté;non	                        politique;morale
            attaquer	            attaquer	               atake	       VER	               inf;;	          	          	         3	                                  epique	    détruire;agresser;combattre;défier	        guerre;combat;armes;tactique;fer	                        guerre;politique
           protester	           protester	            pRotEste	       VER	                inf;	          	          	         3	                                  epique	                                        	                                        	                                        
             refuser	             refuser	             R°fyze	       VER	               inf;;	          	          	         3	                                  epique	                                        	                                        	                                        
           contester	           contester	            k§tEste	       VER	                inf;	          	          	         3	                                  epique	                                        	                                        	                                        
               choix	               choix	                 Swa	       NOM	                    	         m	          	         1	                                  epique	                                        	                                        	                                        
            liberté	            liberté	             libERte	       NOM	                    	         f	          	         3	                                  epique	                                        	                                        	                                        
